"Column_1","Column_2","Column_3"
-203.47428833394997,"2022-09-27 12:12:31","2022-09-27 12:12:31"
-203.4734925146708,"2022-09-27 12:13:16","2022-09-27 12:13:16"
-203.4729442836118,"2022-09-27 12:13:47","2022-09-27 12:13:47"
-203.47267902068037,"2022-09-27 12:14:02","2022-09-27 12:14:02"
-203.47241375774894,"2022-09-27 12:14:17","2022-09-27 12:14:17"
-203.4721484846559,"2022-09-27 12:14:32","2022-09-27 12:14:32"
-203.47188319556278,"2022-09-27 12:14:47","2022-09-27 12:14:47"
-203.47161791535524,"2022-09-27 12:15:02","2022-09-27 12:15:02"
-203.47135154317664,"2022-09-27 12:15:17","2022-09-27 12:15:17"
-203.47108518052207,"2022-09-27 12:15:32","2022-09-27 12:15:32"
-203.47055241831995,"2022-09-27 12:16:02","2022-09-27 12:16:02"
-203.47001965595717,"2022-09-27 12:16:32","2022-09-27 12:16:32"
-203.4689396910842,"2022-09-27 12:17:33","2022-09-27 12:17:33"
-203.46867412595148,"2022-09-27 12:17:48","2022-09-27 12:17:48"
-203.46840856081877,"2022-09-27 12:18:03","2022-09-27 12:18:03"
-203.4645844229079,"2022-09-27 12:21:39","2022-09-27 12:21:39"
-203.46378770273617,"2022-09-27 12:22:24","2022-09-27 12:22:24"
-203.463256555955,"2022-09-27 12:22:54","2022-09-27 12:22:54"
-203.4621942954242,"2022-09-27 12:23:54","2022-09-27 12:23:54"
-203.4608664697607,"2022-09-27 12:25:09","2022-09-27 12:25:09"
-203.46033535860025,"2022-09-27 12:25:39","2022-09-27 12:25:39"
-203.4598042474398,"2022-09-27 12:26:09","2022-09-27 12:26:09"
-203.4590077144174,"2022-09-27 12:26:54","2022-09-27 12:26:54"
-203.45874220340994,"2022-09-27 12:27:09","2022-09-27 12:27:09"
-203.45791026891987,"2022-09-27 12:27:56","2022-09-27 12:27:56"
-203.45764476592976,"2022-09-27 12:28:11","2022-09-27 12:28:11"
-203.45737927103718,"2022-09-27 12:28:26","2022-09-27 12:28:26"
-203.45711375995182,"2022-09-27 12:28:41","2022-09-27 12:28:41"
-203.4568472726285,"2022-09-27 12:28:56","2022-09-27 12:28:56"
-203.45656300925856,"2022-09-27 12:29:12","2022-09-27 12:29:12"
-203.45603001543992,"2022-09-27 12:29:42","2022-09-27 12:29:42"
-203.45576351041888,"2022-09-27 12:29:57","2022-09-27 12:29:57"
